question_id,question,model,product_key,answer_passage_id,answer_value,answerable,paraphrased
Q0496,E284-C は返品時に送料がかかりますか。,E284-C,P0165,,,0,0
Q0306,N185-C の保証は延長できますか。,N185-C,P0027,,,0,0
Q0123,A886-B はどのくらいの重さですか。,A886-B,P0156,K00624,304,1,1
Q0218,Q362-C の重量は何グラムですか。,Q362-C,P0085,K00340,268,1,0
Q0446,T198-C の返送はいつまで可能ですか。,T198-C,P0091,K00367,7,1,1
Q0000,K187-B の返送はいつまで可能ですか。,K187-B,P0020,K00083,8,1,1
Q0390,Z166-C は何日以内なら返品できますか。,Z166-C,P0155,K00623,8,1,0
Q0055,D414-B に付属するケーブルは何本ですか。,D414-B,P0058,K00234,3,1,0
Q0076,D414-B は何日以内なら返品できますか。,D414-B,P0058,K00235,30,1,0
Q0459,Y285-C は返品時に送料がかかりますか。,Y285-C,P0153,,,0,0
Q0514,S959-B の重量は何グラムですか。,S959-B,P0088,K00352,164,1,0
Q0158,J556-B の保証期間は何か月ですか。,J556-B,P0070,K00281,36,1,0
Q0401,U944-B は何日以内なら返品できますか。,U944-B,P0040,K00163,8,1,0
Q0407,L419-C に付属するケースの色は何色ですか。,L419-C,P0023,,,0,0
Q0595,G758-B に付属するケーブルは何本ですか。,G758-B,P0168,K00674,3,1,0
Q0078,Q104-B は何日以内なら返品できますか。,Q104-B,P0032,K00131,7,1,0
Q0379,M242-C はどれくらいの期間サポートを受けられますか。,M242-C,P0025,K00101,12,1,1
Q0275,F863-C の重量は梱包込みで何グラムですか。,F863-C,P0011,,,0,0
Q0152,N785-C の重量は何グラムですか。,N785-C,P0079,K00316,268,1,0
Q0066,Y812-C はどれくらいの期間サポートを受けられますか。,Y812-C,P0101,K00405,18,1,1
Q0240,Z456-B の返送はいつまで可能ですか。,Z456-B,P0050,K00203,7,1,1
Q0276,Y285-B の保証期間は何か月ですか。,Y285-B,P0152,K00609,12,1,0
Q0033,F953-B を買うとコードは何本ついてきますか。,F953-B,P0062,K00250,1,1,1
Q0272,U662-B の返送はいつまで可能ですか。,U662-B,P0092,K00371,30,1,1
Q0458,X983-B の保証期間は何か月ですか。,X983-B,P0098,K00393,12,1,0
Q0574,X983-C はどのくらいの重さですか。,X983-C,P0099,K00396,258,1,1
Q0578,Q946-C は何日以内なら返品できますか。,Q946-C,P0137,K00551,14,1,0
Q0052,E722-C に付属するケーブルは何本ですか。,E722-C,P0009,K00038,2,1,0
Q0582,H421-B の重量は何グラムですか。,H421-B,P0170,K00680,394,1,0
Q0290,M242-B はどれくらいの期間サポートを受けられますか。,M242-B,P0024,K00097,6,1,1
Q0217,G624-B は何日以内なら返品できますか。,G624-B,P0064,K00259,7,1,0
Q0575,V898-B はどのくらいの重さですか。,V898-B,P0042,K00168,176,1,1
Q0164,T198-B はどのくらいの重さですか。,T198-B,P0090,K00360,338,1,1
Q0210,T559-C を買うとコードは何本ついてきますか。,T559-C,P0039,K00158,2,1,1
Q0507,R567-C の保証期間は何か月ですか。,R567-C,P0035,K00141,18,1,0
Q0326,F863-B はどれくらいの期間サポートを受けられますか。,F863-B,P0010,K00041,18,1,1
Q0460,W366-C に付属するケーブルは何本ですか。,W366-C,P0045,K00182,2,1,0
Q0535,Y812-B を買うとコードは何本ついてきますか。,Y812-B,P0100,K00402,2,1,1
Q0522,G624-C に付属するケーブルは何本ですか。,G624-C,P0065,K00262,1,1,0
Q0570,E795-C の重量は何グラムですか。,E795-C,P0113,K00452,303,1,0
Q0207,N785-B の重量は何グラムですか。,N785-B,P0078,K00312,400,1,0
Q0201,W308-B はどのくらいの重さですか。,W308-B,P0096,K00384,199,1,1
Q0087,I468-C の返送はいつまで可能ですか。,I468-C,P0173,K00695,7,1,1
Q0454,F953-B に付属するケーブルは何本ですか。,F953-B,P0062,K00250,1,1,0
Q0349,H421-C は何日以内なら返品できますか。,H421-C,P0171,K00687,14,1,0
Q0016,A886-C の重量は何グラムですか。,A886-C,P0157,K00628,165,1,0
Q0093,G812-C の保証期間は何か月ですか。,G812-C,P0117,K00469,24,1,0
Q0386,F439-C はどれくらいの期間サポートを受けられますか。,F439-C,P0115,K00461,36,1,1
Q0247,T198-B を買うとコードは何本ついてきますか。,T198-B,P0090,K00362,1,1,1
Q0544,X328-B は返品時に送料がかかりますか。,X328-B,P0046,,,0,0
Q0111,I362-C に付属するケースの色は何色ですか。,I362-C,P0121,,,0,0
Q0088,D826-B の重量は何グラムですか。,D826-B,P0162,K00648,181,1,0
Q0244,S148-C の重量は何グラムですか。,S148-C,P0141,K00564,207,1,0
Q0381,J914-C の保証期間は何か月ですか。,J914-C,P0175,K00701,12,1,0
Q0009,B994-B を買うとコードは何本ついてきますか。,B994-B,P0158,K00634,3,1,1
Q0222,V569-B に付属するケーブルは何本ですか。,V569-B,P0146,K00586,1,1,0
Q0267,I416-B の保証期間は何か月ですか。,I416-B,P0016,K00065,24,1,0
Q0045,C520-B の重量は梱包込みで何グラムですか。,C520-B,P0108,,,0,0
Q0024,Z460-C の返送はいつまで可能ですか。,Z460-C,P0103,K00415,7,1,1
Q0295,Y285-B はどれくらいの期間サポートを受けられますか。,Y285-B,P0152,K00609,12,1,1
Q0312,G624-B はどのくらいの重さですか。,G624-B,P0064,K00256,432,1,1
Q0476,W366-C は何日以内なら返品できますか。,W366-C,P0045,K00183,8,1,0
Q0271,T559-C の重量は何グラムですか。,T559-C,P0039,K00156,384,1,0
Q0457,T359-B は何日以内なら返品できますか。,T359-B,P0142,K00571,7,1,0
Q0469,C520-C の重量は何グラムですか。,C520-C,P0109,K00436,257,1,0
Q0166,H357-C は何日以内なら返品できますか。,H357-C,P0119,K00479,14,1,0
Q0438,F467-C の重量は梱包込みで何グラムですか。,F467-C,P0167,,,0,0
Q0572,M735-C の保証は延長できますか。,M735-C,P0129,,,0,0
Q0086,C520-C は何日以内なら返品できますか。,C520-C,P0109,K00439,8,1,0
Q0239,G926-C はどれくらいの期間サポートを受けられますか。,G926-C,P0013,K00053,18,1,1
Q0257,C997-B の保証期間は何か月ですか。,C997-B,P0160,K00641,12,1,0
Q0124,O372-B の保証は延長できますか。,O372-B,P0132,,,0,0
Q0541,I362-B は何日以内なら返品できますか。,I362-B,P0120,K00483,14,1,0
Q0530,K765-B に付属するケーブルは何本ですか。,K765-B,P0124,K00498,1,1,0
Q0159,K431-C の返送はいつまで可能ですか。,K431-C,P0177,K00711,30,1,1
Q0304,Q362-C はどのくらいの重さですか。,Q362-C,P0085,K00340,268,1,1
Q0279,H907-B の重量は何グラムですか。,H907-B,P0066,K00264,307,1,0
Q0518,Y812-B は何日以内なら返品できますか。,Y812-B,P0100,K00403,14,1,0
Q0104,Z456-C に付属するケーブルは何本ですか。,Z456-C,P0051,K00206,3,1,0
Q0335,M468-C は何日以内なら返品できますか。,M468-C,P0077,K00311,7,1,0
Q0561,U944-C は何日以内なら返品できますか。,U944-C,P0041,K00167,30,1,0
Q0488,U344-B に付属するケーブルは何本ですか。,U344-B,P0144,K00578,2,1,0
Q0325,U344-B を買うとコードは何本ついてきますか。,U344-B,P0144,K00578,2,1,1
Q0069,B251-C を買うとコードは何本ついてきますか。,B251-C,P0003,K00014,1,1,1
Q0245,K187-C に付属するケーブルは何本ですか。,K187-C,P0021,K00086,1,1,0
Q0061,O924-B の保証期間は何か月ですか。,O924-B,P0028,K00113,24,1,0
Q0472,M242-B の返送はいつまで可能ですか。,M242-B,P0024,K00099,14,1,1
Q0149,G758-B の保証期間は何か月ですか。,G758-B,P0168,K00673,36,1,0
Q0266,O983-C の重量は何グラムですか。,O983-C,P0081,K00324,120,1,0
Q0142,B251-B の重量は何グラムですか。,B251-B,P0002,K00008,290,1,0
Q0235,P944-C の重量は何グラムですか。,P944-C,P0031,K00124,173,1,0
Q0072,D342-C は何日以内なら返品できますか。,D342-C,P0007,K00031,14,1,0
Q0588,T198-C の重量は何グラムですか。,T198-C,P0091,K00364,270,1,0
Q0204,Q104-B の返送はいつまで可能ですか。,Q104-B,P0032,K00131,7,1,1
Q0023,C427-C の重量は何グラムですか。,C427-C,P0005,K00020,365,1,0
Q0294,E722-C を買うとコードは何本ついてきますか。,E722-C,P0009,K00038,2,1,1
Q0163,R433-B の保証は延長できますか。,R433-B,P0138,,,0,0
Q0350,A886-B はどのくらいの重さですか。,A886-B,P0156,K00624,304,1,1
Q0096,T198-B の重量は何グラムですか。,T198-B,P0090,K00360,338,1,0
Q0370,O983-B の消費電力は何ワットですか。,O983-B,P0080,,,0,0
Q0501,R433-B の消費電力は何ワットですか。,R433-B,P0138,,,0,0
Q0308,V114-B に付属するケーブルは何本ですか。,V114-B,P0094,K00378,3,1,0
Q0098,C520-B の重量は何グラムですか。,C520-B,P0108,K00432,240,1,0
Q0043,N425-B の保証期間は何か月ですか。,N425-B,P0130,K00521,18,1,0
Q0536,F439-B は何日以内なら返品できますか。,F439-B,P0114,K00459,14,1,0
Q0567,U662-B の保証期間は何か月ですか。,U662-B,P0092,K00369,36,1,0
Q0317,L418-C の重量は何グラムですか。,L418-C,P0127,K00508,222,1,0
Q0263,P102-B はどのくらいの重さですか。,P102-B,P0082,K00328,219,1,1
Q0506,B566-B の重量は何グラムですか。,B566-B,P0054,K00216,239,1,0
Q0183,M242-B の保証期間は何か月ですか。,M242-B,P0024,K00097,6,1,0
Q0498,G926-B の重量は何グラムですか。,G926-B,P0012,K00048,247,1,0
Q0384,Z456-C の重量は何グラムですか。,Z456-C,P0051,K00204,452,1,0
Q0487,E704-C の返送はいつまで可能ですか。,E704-C,P0061,K00247,30,1,1
Q0186,Y812-B は何日以内なら返品できますか。,Y812-B,P0100,K00403,14,1,0
Q0006,K454-C の保証期間は何か月ですか。,K454-C,P0073,K00293,36,1,0
Q0157,S416-C を買うとコードは何本ついてきますか。,S416-C,P0037,K00150,1,1,1
Q0079,F953-C の重量は梱包込みで何グラムですか。,F953-C,P0063,,,0,0
Q0328,E704-C に付属するケーブルは何本ですか。,E704-C,P0061,K00246,2,1,0
Q0449,U662-B を買うとコードは何本ついてきますか。,U662-B,P0092,K00370,3,1,1
Q0347,O372-B はどのくらいの重さですか。,O372-B,P0132,K00528,185,1,1
Q0408,E795-B に付属するケーブルは何本ですか。,E795-B,P0112,K00450,3,1,0
Q0062,H948-B の消費電力は何ワットですか。,H948-B,P0014,,,0,0
Q0599,P283-C はどのくらいの重さですか。,P283-C,P0135,K00540,421,1,1
Q0577,Y812-C は何日以内なら返品できますか。,Y812-C,P0101,K00407,8,1,0
